storage_type,item_name,total_stock,total_used,remaining_stock,status
shelf,"coffee fresh",31,2,29,AVAILABLE
fridge,"salmon premium",48,3,45,AVAILABLE
fridge,"butter frozen",34,4,30,AVAILABLE
fridge,"chicken supreme local",27,3,24,AVAILABLE
shelf,"oats large",8,2,6,"LOW STOCK"
freezer,"fish fingers imported",21,6,15,AVAILABLE
shelf,"onion powder premium",45,1,44,AVAILABLE
freezer,"spring rolls small",21,1,20,AVAILABLE
fridge,"milk organic",44,7,37,AVAILABLE
freezer,"spring rolls frozen",30,2,28,AVAILABLE
fridge,"mushroom premium",36,6,30,AVAILABLE
freezer,"chowder fresh",35,6,29,AVAILABLE
shelf,"tea powder bulk",34,7,27,AVAILABLE
freezer,"frozen fish frozen",8,3,5,"LOW STOCK"
shelf,jam,16,4,12,AVAILABLE
fridge,pork,46,4,42,AVAILABLE
shelf,"sunflower oil frozen",14,6,8,AVAILABLE
fridge,"cucumber imported",12,6,6,AVAILABLE
fridge,"eggs small",14,5,9,AVAILABLE
shelf,"garlic bread",11,3,8,AVAILABLE
shelf,"garlic bread premium",39,8,31,AVAILABLE
shelf,"chickpeas bulk",27,6,21,AVAILABLE
fridge,"pork premium",39,2,37,AVAILABLE
fridge,"ham small",21,4,17,AVAILABLE
shelf,ketchup,46,3,43,AVAILABLE
freezer,"frozen corn",49,3,46,AVAILABLE
fridge,"hake fresh",28,5,23,AVAILABLE
freezer,"chowder frozen",6,4,2,"LOW STOCK"
fridge,"ham frozen",22,7,15,AVAILABLE
fridge,"lamb organic",48,4,44,AVAILABLE
freezer,"frozen chips small",35,1,34,AVAILABLE
freezer,sausages,19,1,18,AVAILABLE
shelf,"cornflakes large",26,7,19,AVAILABLE
shelf,"bbq sauce fresh",46,1,45,AVAILABLE
fridge,"bacon small",11,4,7,AVAILABLE
fridge,"lamb fresh",31,1,30,AVAILABLE
freezer,"fish fingers organic",7,7,-0,"OUT OF STOCK"
shelf,"onion powder small",10,5,5,"LOW STOCK"
fridge,"lamb local",19,3,16,AVAILABLE
fridge,"hake bulk",22,6,16,AVAILABLE
shelf,"beans premium",36,7,29,AVAILABLE
freezer,"frozen chips large",47,2,45,AVAILABLE
fridge,carrot,11,7,4,"LOW STOCK"
freezer,"frozen fish large",15,3,12,AVAILABLE
fridge,"chicken goujons bulk",36,2,34,AVAILABLE
freezer,"ice cream strawberry premium",19,2,17,AVAILABLE
shelf,"rice imported",48,5,43,AVAILABLE
freezer,"frozen peas frozen",38,2,36,AVAILABLE
fridge,broccoli,29,7,22,AVAILABLE
shelf,"salt frozen",13,1,12,AVAILABLE
freezer,"ice cream chocolate organic",42,3,39,AVAILABLE
freezer,"ice cream strawberry fresh",18,3,15,AVAILABLE
shelf,"mixed herbs small",17,6,11,AVAILABLE
freezer,"fish fingers",50,4,46,AVAILABLE
shelf,"onion powder large",16,4,12,AVAILABLE
fridge,"chicken goujons",24,4,20,AVAILABLE
shelf,"sunflower oil fresh",39,2,37,AVAILABLE
fridge,"butter small",37,5,32,AVAILABLE
shelf,"mustard large",28,5,23,AVAILABLE
shelf,"vinegar large",47,3,44,AVAILABLE
fridge,"beef frozen",25,4,21,AVAILABLE
fridge,"chicken goujons small",6,4,2,"LOW STOCK"
shelf,"sugar imported",20,6,14,AVAILABLE
fridge,"pork frozen",40,1,39,AVAILABLE
freezer,"frozen fish fresh",35,4,31,AVAILABLE
shelf,"oats imported",8,6,2,"LOW STOCK"
fridge,"lamb small",40,5,35,AVAILABLE
fridge,"milk frozen",24,3,21,AVAILABLE
shelf,"garlic bread bulk",18,4,14,AVAILABLE
shelf,"oats small",5,3,2,"LOW STOCK"
fridge,"broccoli local",27,4,23,AVAILABLE
freezer,"frozen chips frozen",13,4,9,AVAILABLE
fridge,"cream premium",27,2,25,AVAILABLE
fridge,"milk premium",15,6,9,AVAILABLE
shelf,"custard powder frozen",37,4,33,AVAILABLE
shelf,"black pepper large",39,4,35,AVAILABLE
fridge,"lamb imported",46,1,45,AVAILABLE
shelf,"soy sauce imported",49,1,48,AVAILABLE
fridge,"pork fresh",19,1,18,AVAILABLE
shelf,"pasta fresh",31,3,28,AVAILABLE
freezer,"ice cream vanilla",15,2,13,AVAILABLE
fridge,"pork local",35,5,30,AVAILABLE
fridge,"spinach organic",44,6,38,AVAILABLE
fridge,"hake frozen",5,3,2,"LOW STOCK"
shelf,"cornflakes local",26,2,24,AVAILABLE
fridge,mushroom,15,3,12,AVAILABLE
shelf,"custard powder fresh",20,3,17,AVAILABLE
shelf,"corn flour imported",16,5,11,AVAILABLE
shelf,"jam frozen",43,6,37,AVAILABLE
fridge,"tomato local",36,6,30,AVAILABLE
fridge,"chicken wings local",42,7,35,AVAILABLE
freezer,"ice cream chocolate large",33,3,30,AVAILABLE
shelf,"salt local",14,6,8,AVAILABLE
shelf,"turmeric fresh",42,4,38,AVAILABLE
freezer,"frozen corn frozen",22,4,18,AVAILABLE
shelf,"paprika large",16,5,11,AVAILABLE
shelf,"corn flour frozen",6,2,4,"LOW STOCK"
fridge,"carrot imported",37,6,31,AVAILABLE
shelf,"sugar large",45,5,40,AVAILABLE
shelf,"soy sauce local",40,4,36,AVAILABLE
fridge,"carrot premium",15,4,11,AVAILABLE
freezer,"frozen peas fresh",41,3,38,AVAILABLE
shelf,"sugar frozen",35,6,29,AVAILABLE
shelf,"garlic powder",41,4,37,AVAILABLE
shelf,"black pepper organic",36,1,35,AVAILABLE
shelf,"mayonnaise frozen",33,4,29,AVAILABLE
fridge,"salmon frozen",14,4,10,AVAILABLE
shelf,"olive oil small",33,5,28,AVAILABLE
shelf,"onion local",27,5,22,AVAILABLE
shelf,"onion powder local",29,5,24,AVAILABLE
freezer,"frozen corn imported",35,8,27,AVAILABLE
